parameter,value,unit,type,source,reason,uncertainty_range,validation_status
2025 daily global solar radiation,365 daily observations,MJ/m²/day,official_open_data,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/2025/daily_KP_GSR_2025.csv,Constrains annual solar resource using HKO observations.,official daily values; hourly shape modelled,archived_and_checksum_verified
2025 daily mean relative humidity,365 daily observations,%,official_open_data,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/2025/daily_KP_RH_2025.csv,Informs hourly humidity and temperature variation.,official daily values; hourly shape modelled,archived_and_checksum_verified
2025 daily bright sunshine,365 daily observations,hours/day,official_open_data,https://data.weather.gov.hk/weatherAPI/cis/csvfile/KP/2025/daily_KP_SUN_2025.csv,Controls hourly cloud-shape modulation.,official daily values; hourly cloud pattern modelled,archived_and_checksum_verified
2025 annual mean temperature,24.3,°C,official_annual_statistic_plus_derived_profile,https://www.hko.gov.hk/en/wxinfo/pastwx/2025/ywx2025.htm,Calibrates the synthetic hourly temperature series.,hourly profile is model-derived,annual_mean_matched
Grid carbon intensity,0.38,kgCO2e/kWh,official_company_statistic,https://www.clp.com.hk/content/dam/clphk/documents/about-clp-site/media-site/resources-site/publications-site/2025/CLP-Information-Kit-English.pdf,Estimates avoided operational emissions.,reporting-year and supplier specific,source_recorded
Electricity tariff,"{""off_peak_hkd_per_kwh"": 1.05, ""shoulder_hkd_per_kwh"": 1.35, ""peak_hkd_per_kwh"": 1.75, ""export_hkd_per_kwh"": 0.5}",HKD/kWh,engineering_assumption,project scenario; not an official customer bill,Enables transparent cost comparison.,must be replaced for a real customer category,clearly_labelled_assumption
V2G resource,aggregate equivalent capacity and power,kWh and kW,blueprint_design_assumption,FlexiLeaf proposal V2G concept,Represents participating EV fleet at planning level.,fleet availability and user participation not field-tested,scenario_only
academic_a gross floor area,42000,m²,blueprint_design,FlexiLeaf planned demonstration-site blueprint,Defines annual load calibration.,±10% during detailed design,design_basis
academic_a roof usable area,2100,m²,blueprint_design,FlexiLeaf planned demonstration-site blueprint,Defines roof PV capacity.,scenario multipliers applied,design_basis
academic_a facade usable area,4000,m²,blueprint_design,FlexiLeaf planned demonstration-site blueprint,Defines flexible facade PV capacity.,scenario multipliers applied,design_basis
academic_a annual EUI,145,kWh/m²/year,engineering_assumption,informed by EMSD energy end-use and building benchmarking resources; not a measured building value,Calibrates synthetic annual building demand.,±15% recommended sensitivity range,scenario_assumption
residence_b gross floor area,50400,m²,blueprint_design,FlexiLeaf planned demonstration-site blueprint,Defines annual load calibration.,±10% during detailed design,design_basis
residence_b roof usable area,1400,m²,blueprint_design,FlexiLeaf planned demonstration-site blueprint,Defines roof PV capacity.,scenario multipliers applied,design_basis
residence_b facade usable area,3800,m²,blueprint_design,FlexiLeaf planned demonstration-site blueprint,Defines flexible facade PV capacity.,scenario multipliers applied,design_basis
residence_b annual EUI,80,kWh/m²/year,engineering_assumption,informed by EMSD energy end-use and building benchmarking resources; not a measured building value,Calibrates synthetic annual building demand.,±15% recommended sensitivity range,scenario_assumption
community_hub_c gross floor area,7200,m²,blueprint_design,FlexiLeaf planned demonstration-site blueprint,Defines annual load calibration.,±10% during detailed design,design_basis
community_hub_c roof usable area,1080,m²,blueprint_design,FlexiLeaf planned demonstration-site blueprint,Defines roof PV capacity.,scenario multipliers applied,design_basis
community_hub_c facade usable area,1500,m²,blueprint_design,FlexiLeaf planned demonstration-site blueprint,Defines flexible facade PV capacity.,scenario multipliers applied,design_basis
community_hub_c annual EUI,160,kWh/m²/year,engineering_assumption,informed by EMSD energy end-use and building benchmarking resources; not a measured building value,Calibrates synthetic annual building demand.,±15% recommended sensitivity range,scenario_assumption
