scenario,configuration,annual_load_mwh,annual_pv_generation_mwh,grid_import_mwh,grid_export_mwh,peak_grid_import_kw,net_energy_cost_hkd,carbon_emissions_tco2e,pv_self_consumption_percent,load_self_sufficiency_percent,battery_capacity_kwh,battery_power_kw,peak_reduction_percent,grid_import_reduction_percent,energy_cost_saving_percent,objective_cost_saving_percent,carbon_reduction_percent,self_consumption_gain_percentage_points,self_sufficiency_gain_percentage_points
conservative,grid_only,11774.0,0.0,11774.0,0.0,3599.7895096121247,16048197.227398545,4474.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conservative,roof_pv_only,11774.0,770.9701465494527,11003.029853450547,0.0,3357.270297943258,15009077.959721435,4181.151344311208,100.0,6.54807326778879,0.0,0.0,6.737038680214336,6.54807326778879,6.474990635727336,6.474990635727336,6.548073267788794,100.0,6.54807326778879
conservative,roof_plus_flexileaf,11774.0,1712.5709528745083,10061.429047125492,0.0,3154.9599836293387,13742133.522028686,3823.343037907687,100.0,14.545362263245352,0.0,0.0,12.357098235744237,14.545362263245352,14.369612191908967,14.369612191908967,14.545362263245353,100.0,14.545362263245352
conservative,roof_plus_flexileaf_battery,11774.0,1712.5709528745083,10104.755042301673,0.0,2752.5740797646417,13657164.12695923,3839.8069160746363,100.0,14.177382008648943,1500.0,550.0,23.5351380291891,14.177382008648943,14.89907599314136,14.68835765377082,14.17738200864893,100.0,14.177382008648943
conservative,full_microgrid_v2g,11774.0,1712.5709528745083,10115.543986114151,0.0,2684.1740797646416,13640408.285192339,3843.906714723378,100.0,14.08574837681203,1950.0,730.0,25.435249127834147,14.08574837681203,15.00348548867202,14.740294532931461,14.08574837681202,100.0,14.08574837681203
design,grid_only,11774.0,0.0,11774.0,0.0,3599.7895096121247,16048197.227398545,4474.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
design,roof_pv_only,11774.0,1071.0239231809007,10702.976076819099,0.0,3292.921570237131,14604663.25957711,4067.1309091912576,100.0,9.096517098529816,0.0,0.0,8.524607857087132,9.096517098529816,8.994991445873668,8.994991445873668,9.096517098529816,100.0,9.096517098529816
design,roof_plus_flexileaf,11774.0,2505.0304946699202,9271.900810003353,2.931304673273295,3113.1191863034246,12677708.208600106,3523.3223078012747,99.88298327387591,21.25105478169396,0.0,0.0,13.519410565789958,21.25105478169396,21.00229060647458,21.00229060647458,21.251054781693952,99.88298327387591,21.25105478169396
design,roof_plus_flexileaf_battery,11774.0,2505.0304946699202,9322.671478506601,-7.105427357601002e-18,2661.6613984175337,12557534.16244232,3542.615161832509,100.0,20.819844755337165,2000.0,800.0,26.060637953680622,20.819844755337165,21.75112266813829,21.489940194137088,20.819844755337158,100.0,20.819844755337165
design,full_microgrid_v2g,11774.0,2505.0304946699202,9339.009502128269,0.0,2540.0613984175334,12526775.617574764,3548.823610808742,100.0,20.681081177779266,2800.0,1120.0,29.43861324016071,20.681081177779266,21.942786220322468,21.602142877802148,20.681081177779266,100.0,20.681081177779266
optimistic,grid_only,11774.0,0.0,11774.0,0.0,3599.7895096121247,16048197.227398545,4474.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,roof_pv_only,11774.0,1359.553975677243,10414.446024322755,0.0,3231.044189483725,14215780.320082378,3957.4894892426473,100.0,11.547086594846649,0.0,0.0,10.243524493412167,11.547086594846649,11.418210290858985,11.418210290858985,11.547086594846645,100.0,11.547086594846649
optimistic,roof_plus_flexileaf,11774.0,3264.181739228732,8569.747029324577,59.92876855331031,3097.006923733855,11704096.845173165,3256.503871143339,98.16404926744457,27.214650676706505,0.0,0.0,13.966999585274205,27.214650676706505,27.069086456694606,27.069086456694606,27.214650676706498,98.16404926744457,27.214650676706505
optimistic,roof_plus_flexileaf_battery,11774.0,3264.181739228732,8576.416091617059,1.4314669801672144,2571.376878299002,11520357.28245512,3259.0381148144825,99.95614622301927,27.158008394623245,2500.0,1000.0,28.56868793486577,27.158008394623245,28.214009840390027,27.89706967731372,27.15800839462324,99.95614622301927,27.158008394623245
optimistic,full_microgrid_v2g,11774.0,3264.181739228732,8594.661613926866,0.121744931928143,2426.7967512900836,11488926.103738353,3265.9714132922095,99.99627027715813,27.00304387695883,3600.0,1440.0,32.58503740815752,27.00304387695883,28.409864728458732,27.99781656843149,27.00304387695883,99.99627027715813,27.00304387695883
